Sr,Date,month,year,Index,Open,High,Low,Close,Volume,Adjusted,RSI,pSAR
1,03-01-2007,Jan,2007,TM,135.25,136.539993,134.449997,135.300003,758600,107.809196,62.57,164.77
2,04-01-2007,Jan,2007,TM,136.649994,137.970001,135.639999,137.770004,842700,109.777344,58.08,168.09
3,05-01-2007,Jan,2007,TM,133.300003,133.869995,132.550003,133.720001,1068400,106.55024,57.4,172.23
4,08-01-2007,Jan,2007,TM,134.600006,134.740005,133.800003,133.970001,511600,106.749451,51.41,175.79
5,09-01-2007,Jan,2007,TM,132.169998,132.940002,131.240005,132.160004,645700,105.307213,48.99,178.86
6,10-01-2007,Jan,2007,TM,129,129.860001,128.210007,129.429993,726200,103.131889,42.93,197.68
7,11-01-2007,Jan,2007,TM,128,130.429993,127.809998,128.779999,803900,102.613968,52.45,197.31
8,12-01-2007,Jan,2007,TM,129.869995,130.889999,129.789993,130.889999,498500,104.29525,60.88,196.94
9,16-01-2007,Jan,2007,TM,131.490005,132.490005,130.75,131.210007,641200,104.550255,62.7,196.58
10,17-01-2007,Jan,2007,TM,131.639999,131.889999,130.779999,131.100006,641100,104.462593,62.22,196.23
11,18-01-2007,Jan,2007,TM,132.199997,132.949997,131.429993,132.080002,554200,105.243454,64.58,195.89
12,19-01-2007,Jan,2007,TM,131.940002,132.5,131.740005,132.330002,396500,105.44265,62.15,195.55
13,22-01-2007,Jan,2007,TM,132.270004,132.270004,130.419998,131.210007,524800,104.550255,63.13,195.22
14,23-01-2007,Jan,2007,TM,132.100006,132.75,131.399994,132.080002,386000,105.243454,58.36,195
15,24-01-2007,Jan,2007,TM,134.479996,135.600006,133.979996,135.550003,653200,108.008408,60.46,194.68
16,25-01-2007,Jan,2007,TM,132.800003,133.589996,131.199997,131.699997,794100,104.940674,65.08,194.37
17,26-01-2007,Jan,2007,TM,132,132.199997,130.809998,131.539993,716400,104.813179,#N/A,194.06
18,29-01-2007,Jan,2007,TM,131.850006,132.5,131.419998,131.699997,450300,104.940674,61.95,193.76
19,30-01-2007,Jan,2007,TM,132.300003,132.949997,132.149994,132.710007,425300,105.745468,#N/A,193.76
20,31-01-2007,Jan,2007,TM,130.899994,132.270004,130.5,131.779999,546600,105.004402,56.67,192.95
21,01-02-2007,Feb,2007,TM,133,133.570007,132.550003,133.279999,376100,106.199615,61.3,192.18
22,02-02-2007,Feb,2007,TM,131.649994,131.669998,130.690002,131.270004,466700,104.598045,64.75,191.44
23,05-02-2007,Feb,2007,TM,130,130.889999,130,130.460007,447400,103.952629,66.94,190.72
24,06-02-2007,Feb,2007,TM,133.490005,134.399994,132.259995,133.699997,571500,106.534302,64.32,190.04
25,07-02-2007,Feb,2007,TM,133.100006,133.300003,132.169998,132.940002,383900,105.928726,66.38,189.38
26,08-02-2007,Feb,2007,TM,132.410004,132.410004,131.490005,132.100006,444500,105.259384,66.26,188.75
27,09-02-2007,Feb,2007,TM,133.479996,133.690002,131.720001,132.059998,601600,105.227516,61.06,188.14
28,12-02-2007,Feb,2007,TM,132.470001,132.649994,131.350006,131.789993,282200,105.012383,46.87,187.21
29,13-02-2007,Feb,2007,TM,134.050003,134.869995,134.050003,134.860001,485800,107.458618,45.65,186
30,14-02-2007,Feb,2007,TM,134.820007,137.059998,134.820007,136.5,949000,108.765373,45.93,184.06
31,15-02-2007,Feb,2007,TM,137.080002,137.110001,136.130005,136.770004,419600,108.980545,55.54,182.31
32,16-02-2007,Feb,2007,TM,137.020004,137.149994,136.289993,137.149994,399900,109.28331,#N/A,180.74
33,20-02-2007,Feb,2007,TM,136.5,137.350006,135.830002,136.669998,348300,108.900841,51.14,179.33
34,21-02-2007,Feb,2007,TM,135.369995,135.940002,135.160004,135.589996,319400,108.040276,50.1,178.06
35,22-02-2007,Feb,2007,TM,135.850006,136.009995,135.059998,135.649994,270800,108.088081,44.94,176.54
36,23-02-2007,Feb,2007,TM,135.800003,136.050003,135.309998,135.5,410900,107.968575,37.46,174.08
37,26-02-2007,Feb,2007,TM,136.899994,137.490005,135.899994,137.029999,341800,109.187698,37.8,171.97
